Force: -0.7600691787035517
Flowrate: 0.013941223012651077
Power: 0.25693674012315937
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.000000	    0.574661	      0.0000	
    0.000025	    0.574661	     -0.0190	
    0.000050	    0.574661	     -0.0531	
    0.000075	    0.574661	     -0.0829	
    0.000100	    0.574660	     -0.1120	
    0.000125	    0.574660	     -0.1408	
    0.000150	    0.574660	     -0.1695	
    0.000175	    0.574660	     -0.1981	
    0.000200	    0.574659	     -0.2266	
    0.000225	    0.574659	     -0.2552	
    0.000250	    0.574659	     -0.2837	
    0.000275	    0.574658	     -0.3122	
    0.000300	    0.574658	     -0.3407	
    0.000325	    0.574657	     -0.3692	
    0.000350	    0.574657	     -0.3977	
    0.000375	    0.574656	     -0.4261	
    0.000400	    0.574655	     -0.4546	
    0.000425	    0.574654	     -0.4831	
    0.000450	    0.574654	     -0.5115	
    0.000475	    0.574653	     -0.5400	
    0.000500	    0.574652	     -0.5685	
    0.000525	    0.574651	     -0.5969	
    0.000550	    0.574650	     -0.6254	
    0.000575	    0.574649	     -0.6538	
    0.000600	    0.574648	     -0.6823	
    0.000625	    0.574647	     -0.7107	
    0.000650	    0.574646	     -0.7392	
    0.000675	    0.574645	     -0.7676	
    0.000700	    0.574644	     -0.7961	
    0.000725	    0.574642	     -0.8245	
    0.000750	    0.574641	     -0.8530	
    0.000775	    0.574640	     -0.8814	
    0.000800	    0.574639	     -0.9099	
    0.000825	    0.574637	     -0.9383	
    0.000850	    0.574636	     -0.9668	
    0.000875	    0.574634	     -0.9952	
    0.000900	    0.574633	     -1.0237	
    0.000925	    0.574631	     -1.0521	
    0.000950	    0.574629	     -1.0806	
    0.000975	    0.574628	     -1.1090	
    0.001000	    0.574626	     -1.1375	
    0.001025	    0.574624	     -1.1659	
    0.001050	    0.574622	     -1.1943	
    0.001075	    0.574621	     -1.2228	
    0.001100	    0.574619	     -1.2512	
    0.001125	    0.574617	     -1.2797	
    0.001150	    0.574615	     -1.3081	
    0.001175	    0.574613	     -1.3366	
    0.001200	    0.574611	     -1.3650	
    0.001225	    0.574609	     -1.3935	
    0.001250	    0.574606	     -1.4219	
    0.001275	    0.574604	     -1.4503	
    0.001300	    0.574602	     -1.4788	
    0.001325	    0.574600	     -1.5072	
    0.001350	    0.574597	     -1.5357	
    0.001375	    0.574595	     -1.5641	
    0.001400	    0.574593	     -1.5925	
    0.001425	    0.574590	     -1.6210	
    0.001450	    0.574588	     -1.6494	
    0.001475	    0.574585	     -1.6779	
    0.001500	    0.574583	     -1.7063	
    0.001525	    0.574580	     -1.7347	
    0.001550	    0.574577	     -1.7632	
    0.001575	    0.574575	     -1.7916	
    0.001600	    0.574572	     -1.8201	
    0.001625	    0.574569	     -1.8485	
    0.001650	    0.574566	     -1.8769	
    0.001675	    0.574563	     -1.9054	
    0.001700	    0.574560	     -1.9338	
    0.001725	    0.574557	     -1.9623	
    0.001750	    0.574554	     -1.9907	
    0.001775	    0.574551	     -2.0191	
    0.001800	    0.574548	     -2.0476	
    0.001825	    0.574545	     -2.0760	
    0.001850	    0.574542	     -2.1045	
    0.001875	    0.574539	     -2.1329	
    0.001900	    0.574535	     -2.1613	
    0.001925	    0.574532	     -2.1898	
    0.001950	    0.574529	     -2.2182	
    0.001975	    0.574525	     -2.2466	
    0.002000	    0.574522	     -2.2751	
    0.002025	    0.574518	     -2.3035	
    0.002050	    0.574515	     -2.3320	
    0.002075	    0.574511	     -2.3604	
    0.002100	    0.574507	     -2.3888	
    0.002125	    0.574504	     -2.4173	
    0.002150	    0.574500	     -2.4457	
    0.002175	    0.574496	     -2.4741	
    0.002200	    0.574492	     -2.5026	
    0.002225	    0.574489	     -2.5310	
    0.002250	    0.574485	     -2.5595	
    0.002275	    0.574481	     -2.5879	
    0.002300	    0.574477	     -2.6163	
    0.002325	    0.574473	     -2.6448	
    0.002350	    0.574469	     -2.6732	
    0.002375	    0.574465	     -2.7016	
    0.002400	    0.574460	     -2.7301	
    0.002425	    0.574456	     -2.7585	
    0.002450	    0.574452	     -2.7869	
    0.002475	    0.574448	     -2.8154	
    0.002500	    0.574443	     -2.8438	
    0.002525	    0.574439	     -2.8722	
    0.002550	    0.574435	     -2.9007	
    0.002575	    0.574430	     -2.9291	
    0.002600	    0.574426	     -2.9575	
    0.002625	    0.574421	     -2.9860	
    0.002650	    0.574417	     -3.0144	
    0.002675	    0.574412	     -3.0428	
    0.002700	    0.574407	     -3.0713	
    0.002725	    0.574403	     -3.0997	
    0.002750	    0.574398	     -3.1281	
    0.002775	    0.574393	     -3.1566	
    0.002800	    0.574388	     -3.1850	
    0.002825	    0.574383	     -3.2134	
    0.002850	    0.574378	     -3.2419	
    0.002875	    0.574373	     -3.2703	
    0.002900	    0.574368	     -3.2987	
    0.002925	    0.574363	     -3.3272	
    0.002950	    0.574358	     -3.3556	
    0.002975	    0.574353	     -3.3840	
    0.003000	    0.574348	     -3.4124	
    0.003025	    0.574343	     -3.4409	
    0.003050	    0.574337	     -3.4693	
    0.003075	    0.574332	     -3.4977	
    0.003100	    0.574327	     -3.5262	
    0.003125	    0.574321	     -3.5546	
    0.003150	    0.574316	     -3.5830	
    0.003175	    0.574310	     -3.6115	
    0.003200	    0.574305	     -3.6399	
    0.003225	    0.574299	     -3.6683	
    0.003250	    0.574293	     -3.6967	
    0.003275	    0.574288	     -3.7252	
    0.003300	    0.574282	     -3.7536	
    0.003325	    0.574276	     -3.7820	
    0.003350	    0.574270	     -3.8105	
    0.003375	    0.574265	     -3.8389	
    0.003400	    0.574259	     -3.8673	
    0.003425	    0.574253	     -3.8957	
    0.003450	    0.574247	     -3.9242	
    0.003475	    0.574241	     -3.9526	
    0.003500	    0.574235	     -3.9810	
    0.003525	    0.574229	     -4.0094	
    0.003550	    0.574222	     -4.0379	
    0.003575	    0.574216	     -4.0663	
    0.003600	    0.574210	     -4.0947	
    0.003625	    0.574204	     -4.1231	
    0.003650	    0.574197	     -4.1516	
    0.003675	    0.574191	     -4.1800	
    0.003700	    0.574185	     -4.2084	
    0.003725	    0.574178	     -4.2368	
    0.003750	    0.574172	     -4.2653	
    0.003775	    0.574165	     -4.2937	
    0.003800	    0.574159	     -4.3221	
    0.003825	    0.574152	     -4.3505	
    0.003850	    0.574145	     -4.3790	
    0.003875	    0.574138	     -4.4074	
    0.003900	    0.574132	     -4.4358	
    0.003925	    0.574125	     -4.4642	
    0.003950	    0.574118	     -4.4926	
    0.003975	    0.574111	     -4.5211	
    0.004000	    0.574104	     -4.5495	
    0.004025	    0.574097	     -4.5779	
    0.004050	    0.574090	     -4.6063	
    0.004075	    0.574083	     -4.6348	
    0.004100	    0.574076	     -4.6632	
    0.004125	    0.574069	     -4.6916	
    0.004150	    0.574062	     -4.7200	
    0.004175	    0.574054	     -4.7484	
    0.004200	    0.574047	     -4.7769	
    0.004225	    0.574040	     -4.8053	
    0.004250	    0.574032	     -4.8337	
    0.004275	    0.574025	     -4.8621	
    0.004300	    0.574018	     -4.8905	
    0.004325	    0.574010	     -4.9189	
    0.004350	    0.574003	     -4.9474	
    0.004375	    0.573995	     -4.9758	
    0.004400	    0.573987	     -5.0042	
    0.004425	    0.573980	     -5.0326	
    0.004450	    0.573972	     -5.0610	
    0.004475	    0.573964	     -5.0894	
    0.004500	    0.573956	     -5.1179	
    0.004525	    0.573949	     -5.1463	
    0.004550	    0.573941	     -5.1747	
    0.004575	    0.573933	     -5.2031	
    0.004600	    0.573925	     -5.2315	
