Force: -0.1754374456793037
Flowrate: 0.013932787827220754
Power: 0.07147520155364247
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.000000	    0.554931	      0.0000	
    0.000025	    0.554931	     -0.0164	
    0.000050	    0.554931	     -0.0460	
    0.000075	    0.554931	     -0.0719	
    0.000100	    0.554931	     -0.0971	
    0.000125	    0.554931	     -0.1221	
    0.000150	    0.554931	     -0.1469	
    0.000175	    0.554930	     -0.1718	
    0.000200	    0.554930	     -0.1965	
    0.000225	    0.554930	     -0.2213	
    0.000250	    0.554930	     -0.2460	
    0.000275	    0.554929	     -0.2707	
    0.000300	    0.554929	     -0.2954	
    0.000325	    0.554928	     -0.3201	
    0.000350	    0.554928	     -0.3448	
    0.000375	    0.554927	     -0.3695	
    0.000400	    0.554927	     -0.3942	
    0.000425	    0.554926	     -0.4189	
    0.000450	    0.554925	     -0.4436	
    0.000475	    0.554925	     -0.4683	
    0.000500	    0.554924	     -0.4930	
    0.000525	    0.554923	     -0.5176	
    0.000550	    0.554922	     -0.5423	
    0.000575	    0.554921	     -0.5670	
    0.000600	    0.554921	     -0.5917	
    0.000625	    0.554920	     -0.6163	
    0.000650	    0.554919	     -0.6410	
    0.000675	    0.554918	     -0.6657	
    0.000700	    0.554917	     -0.6903	
    0.000725	    0.554916	     -0.7150	
    0.000750	    0.554914	     -0.7397	
    0.000775	    0.554913	     -0.7644	
    0.000800	    0.554912	     -0.7890	
    0.000825	    0.554911	     -0.8137	
    0.000850	    0.554910	     -0.8384	
    0.000875	    0.554908	     -0.8630	
    0.000900	    0.554907	     -0.8877	
    0.000925	    0.554906	     -0.9124	
    0.000950	    0.554904	     -0.9370	
    0.000975	    0.554903	     -0.9617	
    0.001000	    0.554901	     -0.9864	
    0.001025	    0.554900	     -1.0110	
    0.001050	    0.554898	     -1.0357	
    0.001075	    0.554897	     -1.0604	
    0.001100	    0.554895	     -1.0850	
    0.001125	    0.554893	     -1.1097	
    0.001150	    0.554892	     -1.1343	
    0.001175	    0.554890	     -1.1590	
    0.001200	    0.554888	     -1.1837	
    0.001225	    0.554886	     -1.2083	
    0.001250	    0.554884	     -1.2330	
    0.001275	    0.554882	     -1.2577	
    0.001300	    0.554880	     -1.2823	
    0.001325	    0.554878	     -1.3070	
    0.001350	    0.554876	     -1.3316	
